Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
UNE pronostica una afectación de 1535 MW en pico nocturno,2025-07-04 08:55:00,"En el día de ayer, 3 de julio, se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy, 4 de julio. La máxima afectación en el día de ayer fue de 1767 MW a las 22:20 horas, coincidente con la hora de máxima demanda, superior a lo previsto por demanda mayor que lo planificado. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1802 MWh, con 424 MW como máxima potencia entregada en el horario de la media con esta fuente de generación. Estado actual del SEN La disponibilidad del SEN a las 07:00 horas es de 2020 MW la demanda 3150 MW con 1180 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1100 MW. Principales incidencias Avería: Unidad 3 de la CTE Santa Cruz y Unidad 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidad 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 463 MW fuera de servicio. Problemas por falta de combustible 103 centrales de generación distribuida con 862 MW 20 MW por falta de aceite en motores de la generación distribuida Total afectado por esta causa: 882 MW. Pronóstico para el horario pico Para el pico se estima la recuperación de 60 MW en motores de la generación distribuida que están fuera por combustible y la entrada de la unidad 3 de la CTE Santa Cruz con 55 MW (en proceso de arranque). En el horario pico se estima una disponibilidad de 2135 MW y una demanda máxima de 3600 MW, para un déficit de 1465 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1535 MW en este horario.","Cuba, Economía, Electricidad, Generación Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Cuba-Petróleo (Cupet), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/07/04/une-pronostica-una-afectacion-de-1535-mw-en-pico-nocturno/
Unión Eléctrica estima una afectación de 1650 MW para la máxima demanda de hoy,2025-07-03 09:11:00,"El día de ayer se registró una afectación en el servicio eléctrico durante las 24 horas, extendiéndose durante toda la madrugada de hoy. La máxima afectación alcanzó los 1615 MW a las 22:40 horas, momento que no coincidió con la hora de máxima demanda. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1852 MWh, con una potencia máxima entregada de 464 MW durante el horario de la media con esta fuente de generación. A las 07:00 horas, la disponibilidad del SEN fue de 1890 MW, mientras que la demanda alcanzó los 2990 MW, con 1114 MW afectados por déficit de capacidad. Para el horario de la media, se estima una afectación de 1050 MW. Entre las principales incidencias se reportan averías en la Unidad 3 de la CTE Santa Cruz, la Unidad 6 de la CTE Renté y la Unidad 2 de la CTE Felton. Asimismo, se encuentran en mantenimiento la Unidad 2 de la CTE Santa Cruz, la Unidad 4 de la CTE Cienfuegos y la Unidad 5 de la CTE Renté. Existen limitaciones térmicas que mantienen fuera de servicio 362 MW. Por problemas de combustible, 104 centrales de generación distribuida presentan afectaciones, sumando 873 MW fuera de servicio. Adicionalmente, 19 MW están inoperativos por falta de aceite en motores de la generación distribuida, lo que eleva el total afectado por esta causa a 892 MW. Para el horario pico, se estima la recuperación de 80 MW en motores de generación distribuida que actualmente están fuera por falta de combustible. La disponibilidad proyectada para este horario es de 1970 MW, frente a una demanda máxima estimada de 3550 MW, lo que generaría un déficit de 1580 MW. De mantenerse las condiciones previstas, se pronostica una afectación de 1650 MW durante el pico. (Con información de UNE-MINEM)","Apagones, Cuba, Economía, Electricidad, Generación Eléctrica, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/07/03/union-electrica-estima-una-afectacion-de-1650-mw-para-la-maxima-demanda-de-hoy/
La Unión Eléctrica pronostica una afectación de 1 595 MW para el horario pico nocturno,2025-06-30 08:59:00,"La Unión Eléctrica estima para el horario pico nocturno una disponibilidad de 2 055 MW y una demanda máxima de 3 580 MW, para un déficit de 1 525 MW, por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 1 595 MW en este horario. También se espera en ese momento del día la entrada de la unidad 5 de la CTE Mariel, con 55 MW, la entrada de la unidad 5 de la CTE Nuevitas, con 60 MW, el completamiento de la unidad 6 de Boca de Jaruco, con 60 MW, y la recuperación de 80 MW en motores de generación distribuida que están fuera por déficit de combustible. La disponibilidad del SEN a las 7:00 horas de este lunes era de 1 800 MW, y la demanda de 3 100 MW, con 1 378 MW afectados por déficit de capacidad de generación. En el horario de la media se estima una afectación de 1 450 MW. Entre las principales incidencias destacan las averías en la unidad 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Están en mantenimiento la unidad 2 de la CTE Santa Cruz, la unidad 4 de la CTE Cienguegos y la unidad 5 de la CTE Renté. Por limitaciones térmicas, están fuera de servicio 351 MW, mientras presentan problemas por falta de combustible 98 centrales de generación distribuida, con 796 MW y 31 MW afectados por falta de aceite en motores, para un total de 827 MW afectados por déficit de combustible. En la jornada de ayer se afectó el servicio las 24 horas y se mantuvo así durante toda la madrugada de hoy. La máxima afectación en el día fue de 1 829 MW a las 21:00 horas, coincidente con el momento de máxima demanda, superior a lo planificado por la no entrada de la unidad 6 de Nuevitas. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1 720 MWh, con 378 MW como máxima potencia entregada en el horario de la media.","Cuba, Economía, Electricidad, Empresa Eléctrica, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/30/la-union-electrica-pronostica-una-afectacion-de-1-595-mw-para-el-horario-pico-nocturno/
"Unión Eléctrica estima un déficit en el pico nocturo no de 1753 MW, tras la incorporación de dos unidades",2025-06-29 08:58:00,"Este sábado se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1936 MW a las 21:40 horas, coincidente con la hora de máxima demanda. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1775 MWh, con 360 MW como máxima potencia entregada en el horario de la media. Estado actual del SEN La disponibilidad del SEN a las 07:00 horas es de 1625 MW la demanda 3100 MW con 1467 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1650 MW. Principales incidencias Avería: Unidad 6 de la CTE Mariel, Unidades 5 y 6 de la CTE Nuevitas y Unidad 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidad 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 356 MW fuera de servicio. Problemas por falta de combustible 111 centrales de generación distribuida con 860 MW 31 MW por falta de aceite en motores de la generación distribuida Total afectado por esta causa: 891 MW. Pronóstico para el horario pico Para el pico se estima la entrada de la unidad 6 de la CTE Mariel con 80 MW, la unidad 6 de la CTE Diez de Octubre con 100 MW, la unidad 1 de Energás Jaruco con 30 MW y la unidad 1 Energás Varadero con 30 MW, así como el completamiento del ciclo combinado con 12 MW. Además se recuperan 40 motores de la generación distribuida que se encuentran fuera por combustible. En el horario pico se estima una disponibilidad de 1917 MW y una demanda máxima de 3600 MW, para un déficit de 1683 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1753 MW en este horario.","Apagones, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/29/union-electrica-estima-un-deficit-en-el-pico-nocturo-no-de-1753-mw-tras-la-incorporacion-de-dos-unidades/
Unión Eléctrica estima déficit de generación superior a 1800 MW para horario nocturno de este viernes,2025-06-27 08:25:00,"La Unión Eléctrica estimó un déficit de generación superior a 1800 MW para el horario nocturno de este viernes 27 de junio, mientras que para el mediodía la afectación alcanzará los 1450 MW, de acuerdo con el parte habitual emitido por la empresa. La disponibilidad del SEN a las 07:00 horas era de 1390 MW, la demanda de 2800 MW con 1440 MW afectados por déficit de capacidad, por lo que en el horario del mediodía se estima una afectación de 1450 MW, refiere la nota. Principales incidencias: Avería: Unidad 6 de la CTE Mariel, Unidades 5 y 6 de la CTE Nuevitas, Unidad 2 de la CTE Felton y Unidad 6 de la CTE Rente. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidad 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 365 MW fuera de servicio. Problemas por falta de combustible: 98 centrales de generación distribuida con 573 MW, 110 MW en el Fuel de Mariel, 36 MW por falta de aceite en motores de la generación distribuida. Total afectado por esta causa: 719 MW. Para el horario pico se estima la entrada de la unidad 3 de Energás Varadero con 30 MW, el fuel de Mariel con 110 MW, la unidad 5 de la CTE Nuevitas con 55 MW y el fuel de Moa con 115 MW. En el horario pico nocturno se estima una disponibilidad de 1700 MW y una demanda máxima de 3570 MW, para un déficit de 1870 MW. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1691 MW a las 22:00 horas, coincidente con la hora de máxima demanda. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1220 MWh, con 287 MW como máxima potencia entregada en el horario del mediodía.","Apagones, Economía, Electricidad, Empresa Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/27/union-electrica-estima-deficit-de-generacion-superior-a-1800-mw-para-horario-nocturno-de-este-viernes/
Unión Eléctrica pronostica una afectación de 1 825 MW en el horario pico,2025-06-26 08:37:00,"Trabajadores de la Unión Eléctrica. Foto: Andy Jorge Blanco/Cubadebate. La disponibilidad del SEN a las 07:00 horas fue de 1 785 MW la demanda 2 900 MW con 1 136 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1 250 MW, informó la Unión Eléctrica en su parte diario. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de este jueves. La máxima afectación en el día de ayer fue de 1 765 MW a las 21:40 horas, coincidente con la hora de máxima demanda. La producción de energía de los 18 nuevos parques solares fotovoltaicos fue de 1 163 MWh, con 291 MW como máxima potencia entregada en el horario de la media. Según el parte de la UNE están en avería la Unidad 2 de la CTE Felton y Unidad 6 de la CTE Rente; en mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidad 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Las limitaciones térmicas: 440 MW fuera de servicio. El parte agrega que están fuera de servicio por falta de combustible 98 centrales de generación distribuida con 851 MW; 41 MW por falta de aceite en motores de la generación distribuida, para un total se 892 MW afectado por esta causa. Para el pico se estima la entrada de la unidad 3 de Energas Varadero con 30 MW. Con este pronóstico, en el horario pico se estima una disponibilidad de 1 815 MW y una demanda máxima de 3 570 MW, para un déficit de 1 755 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 825 MW en este horario. (Con información de UNE-MINEM)","Apagones, Economía, Electricidad, Empresa Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/26/union-electrica-pronostica-una-afectacion-de-1-825-mw-en-el-horario-pico/
UNE prevé afectación de 1 790 MW en horario pico este martes,2025-06-24 09:22:00,"La disponibilidad del sistema eléctrico nacional a las 07:00 horas era de 1 760 MW y la demanda, de 3 050 MW, con 1 305 MW afectados por déficit de capacidad, informó la Unión Eléctrica en su parte diario. En el horario de la media, se estima una afectación de 1 250 MW. Este lunes estuvo afectado el servicio las 24 horas y la situación se mantuvo durante toda la madrugada de hoy. La máxima afectación del lunes fue de 1 760 MW a las 22:00 horas, no coincidente con la hora de máxima demanda. La producción de energía de los 16 nuevos parques solares fotovoltaicos fue de 1 756 MWh, con 368 MW como máxima potencia entregada en el horario de la media con esta fuente de generación. Según el parte de la UNE, están en avería la unidad 1 de la CTE Santa Cruz, la unidad 2 de la CTE Felton y la unidad 6 de CTE Renté; en mantenimiento, la unidad 2 de la CTE Santa Cruz, la unidad 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica son de 375 MW. El parte agrega que están fuera de servicio por falta de combustible 96 centrales de generación distribuida, con 788 MW, y hay 97 MW afectados por falta de aceite en motores de la generación distribuida, para un total de 885 MW afectados. Para el pico, se estima la entrada de la unidad 1 de la CTE Santa Cruz, con 70 MW. Con este pronóstico, para el horario pico de este martes la UNE espera una disponibilidad de 1 830 MW y una demanda máxima de 3 550 MW, para un déficit de 1 720 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 790 MW en este horario.","Cuba, Electricidad, Energía, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/24/une-preve-afectacion-de-1-790-mw-en-horario-pico-este-martes/
Unión Eléctrica estima afectación de 1770 MW en la máxima demanda de hoy,2025-06-23 09:06:00,"En la jornada de este domingo, el servicio eléctrico se afectó durante las 24 horas y se mantuvo interrumpido en la madrugada de hoy. La máxima afectación registrada fue de 1650 MW a las 21:50 horas, coincidiendo con la hora de mayor demanda. Los 16 nuevos parques solares fotovoltaicos produjeron 1803 MWh, con una potencia máxima entregada de 402 MW en el horario de la media. A las 07:00 horas, la disponibilidad del SEN fue de 1750 MW frente a una demanda de 3000 MW, con 1297 MW afectados por déficit de capacidad. Para el horario de la media, se estima una afectación de 1250 MW. Se reportan en avería las unidades 6 y 8 de la CTE Mariel y la unidad 2 de la CTE Felton. En mantenimiento se encuentran la unidad 2 de la CTE Santa Cruz, la unidad 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica ascienden a 390 MW. Fuera de servicio por falta de combustible hay 96 centrales de generación distribuida, con 738 MW afectados, a los que se suman 79 MW por falta de aceite en motores, totalizando 817 MW no disponibles. Para el horario pico, se prevé la entrada de la unidad 6 de la CTE Mariel con 100 MW. La disponibilidad estimada es de 1850 MW, frente a una demanda máxima de 3550 MW, lo que generaría un déficit de 1700 MW. De mantenerse estas condiciones, se pronostica una afectación de 1.770 MW en ese horario. (Con información de UNE-MINEM)","Apagones, Cuba, Economía, Electricidad, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/23/union-electrica-estima-afectacion-de-1770-mw-en-la-maxima-demanda-de-hoy/
Unión Eléctrica estima déficit de 1 700 MW en el horario pico este sábado,2025-06-21 08:51:00,"La Unión Eléctrica estima para este sábado 21 de junio una disponibilidad de 1 850 MW y una demanda máxima de 3 550 MW, para un déficit de 1 700 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 770MW en este horario. La disponibilidad del SEN a las siete de la mañana era de 1 750 MW, con una demanda 3 120 MW y 1 389 MW afectados por déficit de capacidad. En el horario de la media se estima una afectación de 1 350 MW. Este viernes se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1 838 MW a las 22:30 horas, coincidente con la hora de máxima demanda, afectación mayor que lo planificado por demanda superior al pronóstico y salida imprevista de la unidad 6 de Mariel. La producción de energía de los 16 nuevos parques solares fotovoltaicos fue de 1 748 MWh, con 371 MW como máxima potencia entregada en el horario de la media con esta fuente de generación. Las limitaciones en la generación térmica son de 433 MW. Se encuentran fuera de servicio por combustible 81 centrales de generación distribuida con 803 MW, además se encuentran afectado 80 MW por falta de aceite en motores de la generación distribuida, total afectado 883 MW. Para el pico se estima la entrada de la unidad 6 de la CTE Diez de Octubre con 100 MW.","Apagón, Apagones, Cuba, Economía, Electricidad, Energía, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2025/06/21/union-electrica-estima-deficit-de-1-700-mw-en-el-horario-pico-este-sabado/
Unión Eléctrica estima déficit de generación superior a 1 600 MW en horario pico de este viernes,2025-06-20 09:06:00,"La Unión Eléctrica estima un déficit de generación superior a 1 600 MW en el horario pico de este viernes, mientras que para el mediodía la afectación alcanzará los 1250 MW, de acuerdo con el parte habitual emitido por la empresa. La disponibilidad del SEN a las 07:00 horas era de 1850 MW, la demanda 2 980 MW con 1 189 MW afectados por déficit de capacidad. Se encuentran en avería la unidad 5 de la CTE Mariel y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 2 de la CTE Santa Cruz, la unidad 4 de la CTE Cienfuegos, la unidad 6 de la CTE Diez de Octubre y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica son de 456 MW. Se encuentran fuera de servicio por combustible 79 centrales de generación distribuida con 574 MW, además se encuentran afectado 100 MW por falta de aceite en motores de la generación distribuida, total afectado 679 MW. Para el pico se estima la entrada de la unidad 5 de la CTE Mariel con 60 MW. Con este pronóstico, en el horario pico se estima una disponibilidad de 1910 MW y una demanda máxima de 3 500 MW, para un déficit de 1 590 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 660 MW en este horario. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1 730 MW a las 21:40 horas, no coincidente con la hora de máxima demanda. La producción de energía de los 16 nuevos parques solares fotovoltaicos fue de 1765 MWh, con 382 MW como máxima potencia entregada en el horario de la media con esta fuente de generación. (Con información de la UNE)","Apagones, Cuba, Economía, economía doméstica, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",3,http://www.cubadebate.cu/noticias/2025/06/20/union-electrica-estima-deficit-de-generacion-superior-a-1-600-mw-en-horario-pico-de-este-viernes/
